,PID,TID,Timestamp,Channel,CPU,Event type,Contents,Trace Packet Header,Packet Context,Stream Context,Event Context,Prio,Source
889,823.0,960.0,19:42:02.447 516 877,my-kernel-channel_7,7,syscall_exit_futex,"ret=1, uaddr=824639668552, uaddr2=0, context.packet_seq_num=0, context.cpu_id=7, context._procname=""snapd"", context._pid=823, context._tid=960","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061560688338, timestamp_end=12032520542532, content_size=259127120, packet_size=259129344, packet_seq_num=0, events_discarded=0, cpu_id=7]","[procname=""snapd"", pid=823, tid=960]",,20.0,[kernel/futex.c:0]
890,823.0,962.0,19:42:02.447 694 081,my-kernel-channel_11,11,syscall_entry_futex,"uaddr=824635434184, op=128, val=0, utime=0, uaddr2=0, val3=0, context.packet_seq_num=0, context.cpu_id=11, context._procname=""snapd"", context._pid=823, context._tid=962","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061748269074, timestamp_end=11691281734716, content_size=536870720, packet_size=536870912, packet_seq_num=0, events_discarded=0, cpu_id=11]","[procname=""snapd"", pid=823, tid=962]",,20.0,[kernel/futex.c:0]
891,823.0,960.0,19:42:02.447 746 196,my-kernel-channel_7,7,syscall_entry_futex,"uaddr=94311299171880, op=128, val=0, utime=140353256148168, uaddr2=0, val3=0, context.packet_seq_num=0, context.cpu_id=7, context._procname=""snapd"", context._pid=823, context._tid=960","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061560688338, timestamp_end=12032520542532, content_size=259127120, packet_size=259129344, packet_seq_num=0, events_discarded=0, cpu_id=7]","[procname=""snapd"", pid=823, tid=960]",,20.0,[kernel/futex.c:0]
892,823.0,960.0,19:42:02.447 856 936,my-kernel-channel_7,7,syscall_exit_futex,"ret=0, uaddr=94311299171880, uaddr2=0, context.packet_seq_num=0, context.cpu_id=7, context._procname=""snapd"", context._pid=823, context._tid=960","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061560688338, timestamp_end=12032520542532, content_size=259127120, packet_size=259129344, packet_seq_num=0, events_discarded=0, cpu_id=7]","[procname=""snapd"", pid=823, tid=960]",,20.0,[kernel/futex.c:0]
893,823.0,962.0,19:42:02.448 286 883,my-kernel-channel_11,11,syscall_exit_futex,"ret=0, uaddr=824635434184, uaddr2=0, context.packet_seq_num=0, context.cpu_id=11, context._procname=""snapd"", context._pid=823, context._tid=962","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061748269074, timestamp_end=11691281734716, content_size=536870720, packet_size=536870912, packet_seq_num=0, events_discarded=0, cpu_id=11]","[procname=""snapd"", pid=823, tid=962]",,20.0,[kernel/futex.c:0]
894,1133.0,20883.0,19:42:09.770 082 126,my-kernel-channel_9,9,syscall_exit_unknown,"id=435, ret=0, args=[139846646340208, 88, 139854082926672, 8, 139847935989312, 139846646340495], context.packet_seq_num=0, context.cpu_id=9, context._procname=""elasticsearch[e"", context._pid=1133, context._tid=20883","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061653861185, timestamp_end=12032520550489, content_size=254239784, packet_size=254246912, packet_seq_num=0, events_discarded=0, cpu_id=9]","[procname=""elasticsearch[e"", pid=1133, tid=20883]",,20.0,[unknown/unknown:0]
895,1133.0,20883.0,19:42:09.770 094 676,my-kernel-channel_9,9,syscall_entry_unknown,"id=334, args=[139847935991776, 32, 0, 1392848979, 128, 139846646340495], context.packet_seq_num=0, context.cpu_id=9, context._procname=""elasticsearch[e"", context._pid=1133, context._tid=20883","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061653861185, timestamp_end=12032520550489, content_size=254239784, packet_size=254246912, packet_seq_num=0, events_discarded=0, cpu_id=9]","[procname=""elasticsearch[e"", pid=1133, tid=20883]",,20.0,[unknown/unknown:0]
896,1133.0,20883.0,19:42:09.770 096 767,my-kernel-channel_9,9,syscall_exit_unknown,"id=334, ret=0, args=[139847935991776, 32, 0, 1392848979, 128, 139846646340495], context.packet_seq_num=0, context.cpu_id=9, context._procname=""elasticsearch[e"", context._pid=1133, context._tid=20883","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061653861185, timestamp_end=12032520550489, content_size=254239784, packet_size=254246912, packet_seq_num=0, events_discarded=0, cpu_id=9]","[procname=""elasticsearch[e"", pid=1133, tid=20883]",,20.0,[unknown/unknown:0]
897,1133.0,20883.0,19:42:09.770 101 637,my-kernel-channel_9,9,syscall_entry_set_robust_list,"head=139847935990048, len=24, context.packet_seq_num=0, context.cpu_id=9, context._procname=""elasticsearch[e"", context._pid=1133, context._tid=20883","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061653861185, timestamp_end=12032520550489, content_size=254239784, packet_size=254246912, packet_seq_num=0, events_discarded=0, cpu_id=9]","[procname=""elasticsearch[e"", pid=1133, tid=20883]",,20.0,[kernel/futex.c:0]
898,1133.0,20883.0,19:42:09.770 104 624,my-kernel-channel_9,9,syscall_exit_set_robust_list,"ret=0, context.packet_seq_num=0, context.cpu_id=9, context._procname=""elasticsearch[e"", context._pid=1133, context._tid=20883","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061653861185, timestamp_end=12032520550489, content_size=254239784, packet_size=254246912, packet_seq_num=0, events_discarded=0, cpu_id=9]","[procname=""elasticsearch[e"", pid=1133, tid=20883]",,20.0,[kernel/futex.c:0]
