,PID,TID,Category
1177,1133,21104,Synchronization and Timing
1181,1133,21105,Synchronization and Timing
1184,1133,21106,I/O (File and Disk Operations)
1189,1133,21107,I/O (File and Disk Operations)
1194,1133,21113,I/O (File and Disk Operations)
1199,1133,21114,I/O (File and Disk Operations)
1204,1133,21115,I/O (File and Disk Operations)
1211,1133,21116,Synchronization and Timing
1214,1133,21117,I/O (File and Disk Operations)
1219,1133,21118,I/O (File and Disk Operations)
1224,1133,21119,I/O (File and Disk Operations)
1231,1133,21120,Synchronization and Timing
1234,1133,21121,I/O (File and Disk Operations)
1239,1133,21123,I/O (File and Disk Operations)
1244,1133,21126,I/O (File and Disk Operations)
1249,1133,21127,I/O (File and Disk Operations)
1254,1133,21128,I/O (File and Disk Operations)
1259,1133,21129,I/O (File and Disk Operations)
1264,1133,21140,I/O (File and Disk Operations)
1269,1133,21141,I/O (File and Disk Operations)
1274,1133,21142,I/O (File and Disk Operations)
1279,1133,21143,I/O (File and Disk Operations)
1284,1133,21144,I/O (File and Disk Operations)
1289,1133,21145,I/O (File and Disk Operations)
1294,1133,21147,I/O (File and Disk Operations)
1300,1133,21148,Synchronization and Timing
1303,1133,21149,I/O (File and Disk Operations)
1308,1133,21150,I/O (File and Disk Operations)
1315,1133,21152,Synchronization and Timing
1318,1133,21154,I/O (File and Disk Operations)
1323,1133,21155,I/O (File and Disk Operations)
1328,1133,21156,I/O (File and Disk Operations)
1333,1133,21157,I/O (File and Disk Operations)
1338,1133,21158,I/O (File and Disk Operations)
1343,1864,1982,Unknown
1346,1864,1986,Unknown
1349,1994,1999,Unknown
1350,1994,2001,I/O (File and Disk Operations)
1352,1994,2002,Event Polling and Notification
1357,1994,2003,Networking (Socket and Communication)
1358,8037,8037,Event Polling and Notification
1359,20828,20828,Synchronization and Timing
1361,20828,20829,Synchronization and Timing
1364,20828,20830,Networking (Socket and Communication)
1369,20828,21112,Networking (Socket and Communication)
1373,20855,20855,Event Polling and Notification
1376,20857,20857,CPU and Process Management
1379,20872,20872,I/O (File and Disk Operations)
1386,20873,20873,Synchronization and Timing
1391,20910,20910,I/O (File and Disk Operations)
1398,20911,20911,CPU and Process Management
1406,20912,20912,CPU and Process Management
1411,20987,20987,CPU and Process Management
1419,20988,20988,CPU and Process Management
1429,20989,20989,CPU and Process Management
1436,20990,20990,CPU and Process Management
1443,20991,20991,CPU and Process Management
1453,20992,20992,Synchronization and Timing
1462,21005,21005,Synchronization and Timing
1465,21013,21013,CPU and Process Management
1473,21014,21014,CPU and Process Management
1486,21015,21015,Synchronization and Timing
1493,21016,21016,Synchronization and Timing
1500,21017,21017,Synchronization and Timing
1507,21018,21018,Synchronization and Timing
1512,21019,21019,I/O (File and Disk Operations)
1515,21020,21020,I/O (File and Disk Operations)
1518,21021,21021,I/O (File and Disk Operations)
1522,21022,21022,I/O (File and Disk Operations)
1525,21023,21023,I/O (File and Disk Operations)
1529,21024,21024,I/O (File and Disk Operations)
1532,21025,21025,I/O (File and Disk Operations)
1537,21026,21026,I/O (File and Disk Operations)
1540,21027,21027,I/O (File and Disk Operations)
1544,21028,21028,I/O (File and Disk Operations)
1548,21029,21029,I/O (File and Disk Operations)
1551,21030,21030,I/O (File and Disk Operations)
1555,21031,21031,I/O (File and Disk Operations)
1558,21032,21032,I/O (File and Disk Operations)
1562,21033,21033,I/O (File and Disk Operations)
1566,21034,21034,Event Polling and Notification
1570,21035,21035,I/O (File and Disk Operations)
1575,21036,21036,Synchronization and Timing
1578,21037,21037,Event Polling and Notification
1582,21038,21038,Memory Management
1587,21039,21039,Synchronization and Timing
1590,21040,21040,I/O (File and Disk Operations)
1594,21041,21041,Memory Management
1598,21042,21042,I/O (File and Disk Operations)
1602,21043,21043,I/O (File and Disk Operations)
1606,21044,21044,I/O (File and Disk Operations)
1610,21045,21045,I/O (File and Disk Operations)
1614,21046,21046,I/O (File and Disk Operations)
1617,21047,21047,I/O (File and Disk Operations)
1621,21048,21048,I/O (File and Disk Operations)
1625,21049,21049,I/O (File and Disk Operations)
1630,21050,21050,Unknown
1632,21051,21051,I/O (File and Disk Operations)
1638,21052,21052,Unknown
1641,21053,21053,I/O (File and Disk Operations)
1645,21054,21054,I/O (File and Disk Operations)
1648,21055,21055,I/O (File and Disk Operations)
1651,21056,21056,I/O (File and Disk Operations)
1654,21057,21057,I/O (File and Disk Operations)
1658,21058,21058,I/O (File and Disk Operations)
1663,21059,21059,I/O (File and Disk Operations)
1667,21060,21060,I/O (File and Disk Operations)
1670,21061,21061,I/O (File and Disk Operations)
1674,21062,21062,I/O (File and Disk Operations)
1678,21063,21063,Event Polling and Notification
1683,21064,21064,Synchronization and Timing
1687,21065,21065,Memory Management
1691,21066,21066,I/O (File and Disk Operations)
1695,21067,21067,I/O (File and Disk Operations)
1699,21068,21068,I/O (File and Disk Operations)
1703,21069,21069,I/O (File and Disk Operations)
1706,21070,21070,I/O (File and Disk Operations)
1712,21071,21071,Unknown
1715,21072,21072,I/O (File and Disk Operations)
1718,21074,21074,I/O (File and Disk Operations)
1721,21075,21075,I/O (File and Disk Operations)
1724,21076,21076,I/O (File and Disk Operations)
1728,21077,21077,I/O (File and Disk Operations)
1733,21078,21078,I/O (File and Disk Operations)
1736,21079,21079,I/O (File and Disk Operations)
1739,21080,21080,I/O (File and Disk Operations)
1743,21081,21081,I/O (File and Disk Operations)
1747,21082,21082,Event Polling and Notification
1753,21083,21083,Synchronization and Timing
1756,21084,21084,Memory Management
1760,21085,21085,I/O (File and Disk Operations)
1764,21086,21086,I/O (File and Disk Operations)
1768,21087,21087,I/O (File and Disk Operations)
1772,21088,21088,I/O (File and Disk Operations)
1775,21089,21089,I/O (File and Disk Operations)
1781,21090,21090,Unknown
1784,21091,21091,I/O (File and Disk Operations)
1791,21102,21102,Synchronization and Timing
1796,21108,21108,I/O (File and Disk Operations)
1806,21109,21109,Synchronization and Timing
1813,21109,21110,Synchronization and Timing
1818,21109,21111,Synchronization and Timing
1826,21125,21125,Synchronization and Timing
1829,21130,21130,CPU and Process Management
1837,21131,21131,CPU and Process Management
1847,21132,21132,CPU and Process Management
1854,21133,21133,CPU and Process Management
1861,21134,21134,CPU and Process Management
1868,21135,21135,CPU and Process Management
1877,21136,21136,Memory Management
1883,21137,21137,Memory Management
1889,21138,21138,Memory Management
1895,21139,21139,Memory Management
1904,21153,21153,Synchronization and Timing
1910,21159,21159,I/O (File and Disk Operations)
