PID,TID,Category,procname,count,total_time_ns,avg_time_ns,max_time_ns
21039,21039,I/O (File and Disk Operations),stress-ng,1157,3803160931,3287088.099394987,1087954913
21039,21039,Synchronization and Timing,stress-ng,1157,116168861764,100405239.20829733,104038422
21039,21039,Unknown,stress-ng,1,2400,2400.0,2400
21040,21040,CPU and Process Management,stress-ng,1,2025,2025.0,2025
21040,21040,I/O (File and Disk Operations),stress-ng,19,120713574821,6353346043.210526,14984820141
21040,21040,Synchronization and Timing,stress-ng,9,12082218,1342468.6666666667,1899991
21040,21040,Unknown,stress-ng,1,1896,1896.0,1896
21041,21041,CPU and Process Management,stress-ng,1,2523,2523.0,2523
21041,21041,Memory Management,stress-ng,427648,3092465572,7231.33411590841,1424923
21041,21041,Synchronization and Timing,stress-ng,1114,111878900336,100429892.58168761,104524265
21041,21041,Unknown,stress-ng,1,2416,2416.0,2416
21042,21042,CPU and Process Management,stress-ng,1,5015,5015.0,5015
21042,21042,I/O (File and Disk Operations),stress-ng,18,120710899351,6706161075.055555,17143818917
21042,21042,Synchronization and Timing,stress-ng,9,11650549,1294505.4444444445,1439351
21042,21042,Unknown,stress-ng,1,2209,2209.0,2209
21043,21043,CPU and Process Management,stress-ng,1,3265,3265.0,3265
21043,21043,I/O (File and Disk Operations),stress-ng,19,120711864605,6353256031.842105,15810600578
21043,21043,Synchronization and Timing,stress-ng,9,12494937,1388326.3333333333,2478217
21043,21043,Unknown,stress-ng,1,3266,3266.0,3266
21044,21044,CPU and Process Management,stress-ng,1,3639,3639.0,3639
21044,21044,I/O (File and Disk Operations),stress-ng,24,120714561905,5029773412.708333,16701813503
21044,21044,Synchronization and Timing,stress-ng,7,8680680,1240097.142857143,1353728
21044,21044,Unknown,stress-ng,1,3424,3424.0,3424
21045,21045,CPU and Process Management,stress-ng,1,3249,3249.0,3249
21045,21045,I/O (File and Disk Operations),stress-ng,20,120709303848,6035465192.4,16496300844
21045,21045,Synchronization and Timing,stress-ng,10,14015010,1401501.0,2175598
21045,21045,Unknown,stress-ng,1,3503,3503.0,3503
21046,21046,CPU and Process Management,stress-ng,1,3376,3376.0,3376
21046,21046,I/O (File and Disk Operations),stress-ng,669,120717509408,180444707.63527653,2943363532
21046,21046,Unknown,stress-ng,1,3088,3088.0,3088
21047,21047,CPU and Process Management,stress-ng,1,4040,4040.0,4040
21047,21047,I/O (File and Disk Operations),stress-ng,26,120713064245,4642810163.269231,13727620939
21047,21047,Synchronization and Timing,stress-ng,8,10067049,1258381.125,1368242
21047,21047,Unknown,stress-ng,1,3266,3266.0,3266
21048,21048,CPU and Process Management,stress-ng,1,3192,3192.0,3192
21048,21048,I/O (File and Disk Operations),stress-ng,69,35564384515,515425862.5362319,3883771337
21048,21048,Synchronization and Timing,stress-ng,17,85004921199,5000289482.294118,5000561053
21048,21048,Unknown,stress-ng,1,3280,3280.0,3280
21049,21049,CPU and Process Management,stress-ng,1,3290,3290.0,3290
21049,21049,I/O (File and Disk Operations),stress-ng,703,120717346129,171717419.81365576,3060753712
21049,21049,Unknown,stress-ng,1,3147,3147.0,3147
21050,21050,CPU and Process Management,stress-ng,1,3494,3494.0,3494
21050,21050,Event Polling and Notification,stress-ng,21,1103413293,52543490.14285714,95918624
21050,21050,I/O (File and Disk Operations),stress-ng,20,19909263914,995463195.7,6180841284
21050,21050,Unknown,stress-ng,44,99365479723,2258306357.340909,6012756498
21051,21051,CPU and Process Management,stress-ng,1,658,658.0,658
21051,21051,I/O (File and Disk Operations),stress-ng,69,35562460079,515397972.1594203,3882751095
21051,21051,Synchronization and Timing,stress-ng,17,85006126309,5000360371.117647,5001622324
21051,21051,Unknown,stress-ng,1,3301,3301.0,3301
21052,21052,CPU and Process Management,stress-ng,1,663,663.0,663
21052,21052,Event Polling and Notification,stress-ng,21,1230448895,58592804.52380952,98637347
21052,21052,I/O (File and Disk Operations),stress-ng,20,11646977620,582348881.0,3447385142
21052,21052,Unknown,stress-ng,45,107842410396,2396498008.8,5714976948
21053,21053,CPU and Process Management,stress-ng,1,451,451.0,451
21053,21053,Event Polling and Notification,stress-ng,7,614847935,87835419.28571428,120498373
21053,21053,I/O (File and Disk Operations),stress-ng,23,119622494203,5200978008.826087,16642328281
21053,21053,Unknown,stress-ng,1,454,454.0,454
21054,21054,CPU and Process Management,stress-ng,1,633,633.0,633
21054,21054,Event Polling and Notification,stress-ng,8,490746979,61343372.375,86312521
21054,21054,I/O (File and Disk Operations),stress-ng,24,120232493771,5009687240.458333,16250584188
21054,21054,Unknown,stress-ng,1,622,622.0,622
21055,21055,CPU and Process Management,stress-ng,1,4074,4074.0,4074
21055,21055,I/O (File and Disk Operations),stress-ng,25,120558355428,4822334217.12,12232377667
21055,21055,Unknown,stress-ng,1,3585,3585.0,3585
21056,21056,CPU and Process Management,stress-ng,1,4383,4383.0,4383
21056,21056,I/O (File and Disk Operations),stress-ng,34,120466682473,3543137719.7941175,11808724721
21056,21056,Unknown,stress-ng,1,3828,3828.0,3828
21057,21057,CPU and Process Management,stress-ng,1,3237,3237.0,3237
21057,21057,I/O (File and Disk Operations),stress-ng,24,117709337274,4904555719.75,11900266150
21057,21057,Synchronization and Timing,stress-ng,11,2757464143,250678558.45454547,252057078
21057,21057,Unknown,stress-ng,1,1678,1678.0,1678
21058,21058,CPU and Process Management,stress-ng,1,3090,3090.0,3090
21058,21058,I/O (File and Disk Operations),stress-ng,24,117712154610,4904673108.75,13842184310
21058,21058,Synchronization and Timing,stress-ng,11,2753861674,250351061.27272728,250602093
21058,21058,Unknown,stress-ng,1,2662,2662.0,2662
21059,21059,CPU and Process Management,stress-ng,1,3260,3260.0,3260
21059,21059,Event Polling and Notification,stress-ng,2,705129859,352564929.5,524072464
21059,21059,I/O (File and Disk Operations),stress-ng,507,119758873852,236210796.55226824,12211581277
21059,21059,Unknown,stress-ng,1,2540,2540.0,2540
21060,21060,CPU and Process Management,stress-ng,1,4292,4292.0,4292
21060,21060,Event Polling and Notification,stress-ng,1,1220021946,1220021946.0,1220021946
21060,21060,I/O (File and Disk Operations),stress-ng,344,119244319150,346640462.64534885,11522038871
21060,21060,Unknown,stress-ng,1,4464,4464.0,4464
21061,21061,CPU and Process Management,stress-ng,1,2854,2854.0,2854
21061,21061,I/O (File and Disk Operations),stress-ng,33,116250431340,3522740343.6363635,11957665843
21061,21061,Synchronization and Timing,stress-ng,11,3488454918,317132265.27272725,335485451
21061,21061,Unknown,stress-ng,1,2658,2658.0,2658
21062,21062,CPU and Process Management,stress-ng,1,2783,2783.0,2783
21062,21062,I/O (File and Disk Operations),stress-ng,36,116789981996,3244166166.5555553,11957880013
21062,21062,Synchronization and Timing,stress-ng,11,3675621085,334147371.3636364,336556044
21062,21062,Unknown,stress-ng,1,2711,2711.0,2711
21063,21063,CPU and Process Management,stress-ng,1,4796,4796.0,4796
21063,21063,Event Polling and Notification,stress-ng,49,109187096407,2228308089.9387755,3958819839
21063,21063,I/O (File and Disk Operations),stress-ng,65,10148098526,156124592.7076923,1283574458
21063,21063,Unknown,stress-ng,17,402185906,23657994.470588237,402093386
21064,21064,CPU and Process Management,stress-ng,1,3884,3884.0,3884
21064,21064,I/O (File and Disk Operations),stress-ng,1098,9513740601,8664608.926229509,2123525766
21064,21064,Synchronization and Timing,stress-ng,1098,110202383762,100366469.72859745,104244832
21064,21064,Timers,stress-ng,1,3581,3581.0,3581
21064,21064,Unknown,stress-ng,1,3641,3641.0,3641
21065,21065,CPU and Process Management,stress-ng,1,2795,2795.0,2795
21065,21065,Memory Management,stress-ng,426918,3058779524,7164.793997910606,3149863
21065,21065,Synchronization and Timing,stress-ng,1112,111614942846,100373150.0413669,104040105
21065,21065,Unknown,stress-ng,1,2660,2660.0,2660
21066,21066,CPU and Process Management,stress-ng,1,2895,2895.0,2895
21066,21066,I/O (File and Disk Operations),stress-ng,21,120451230536,5735772882.666667,13707199430
21066,21066,Synchronization and Timing,stress-ng,10,12586154,1258615.4,1370606
21066,21066,Unknown,stress-ng,1,2777,2777.0,2777
21067,21067,CPU and Process Management,stress-ng,1,2856,2856.0,2856
21067,21067,I/O (File and Disk Operations),stress-ng,19,120445422620,6339232769.473684,12848985196
21067,21067,Synchronization and Timing,stress-ng,9,17334801,1926089.0,4417318
21067,21067,Unknown,stress-ng,1,2831,2831.0,2831
21068,21068,CPU and Process Management,stress-ng,1,3112,3112.0,3112
21068,21068,I/O (File and Disk Operations),stress-ng,35,120448970835,3441399166.714286,12390772543
21068,21068,Synchronization and Timing,stress-ng,11,13979083,1270825.7272727273,1690086
21068,21068,Unknown,stress-ng,1,2980,2980.0,2980
21069,21069,CPU and Process Management,stress-ng,1,2746,2746.0,2746
